chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.21899992134422064,2,1.0,1.0,1.0,1.0,0.05714996950700879,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.21899992134422064,2,0.3333333333333333,1.0,1.0,1.0,0.05714996950700879,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.21899992134422064,2,0.2,1.0,1.0,1.0,0.05714996950700879,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.21899992134422064,2,1.0,1.0,1.0,1.0,0.04320003790780902,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.21899992134422064,2,0.3333333333333333,1.0,1.0,1.0,0.04320003790780902,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.21899992134422064,2,0.2,1.0,1.0,1.0,0.04320003790780902,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.21899992134422064,2,1.0,1.0,1.0,1.0,0.04244997398927808,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.21899992134422064,2,0.3333333333333333,1.0,1.0,1.0,0.04244997398927808,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.21899992134422064,2,0.2,1.0,1.0,1.0,0.04244997398927808,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.21899992134422064,2,1.0,1.0,1.0,1.0,0.18465000903233886,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.21899992134422064,2,0.3333333333333333,1.0,1.0,1.0,0.18465000903233886,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.21899992134422064,2,0.2,1.0,1.0,1.0,0.18465000903233886,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.21899992134422064,2,1.0,1.0,1.0,1.0,0.14190003275871277,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.21899992134422064,2,0.3333333333333333,1.0,1.0,1.0,0.14190003275871277,1.0,0,0,0,True
