chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.21499997819773853,2,1.0,1.0,1.0,1.0,0.048999994760379195,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.21499997819773853,2,0.3333333333333333,1.0,1.0,1.0,0.048999994760379195,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.21499997819773853,2,0.2,1.0,1.0,1.0,0.048999994760379195,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.21499997819773853,2,1.0,1.0,1.0,1.0,0.05549998604692519,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.21499997819773853,2,0.3333333333333333,1.0,1.0,1.0,0.05549998604692519,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.21499997819773853,2,0.2,1.0,1.0,1.0,0.05549998604692519,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.21499997819773853,2,1.0,1.0,1.0,1.0,0.04835000436287373,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.21499997819773853,2,0.3333333333333333,1.0,1.0,1.0,0.04835000436287373,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.21499997819773853,2,0.2,1.0,1.0,1.0,0.04835000436287373,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.21499997819773853,2,1.0,1.0,1.0,1.0,0.22104999516159296,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.21499997819773853,2,0.3333333333333333,1.0,1.0,1.0,0.22104999516159296,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.21499997819773853,2,0.2,1.0,1.0,1.0,0.22104999516159296,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.21499997819773853,2,1.0,1.0,1.0,1.0,0.17144999583251774,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.21499997819773853,2,0.3333333333333333,1.0,1.0,1.0,0.17144999583251774,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.21499997819773853,2,0.2,1.0,1.0,1.0,0.17144999583251774,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.21499997819773853,2,1.0,1.0,1.0,1.0,0.27695001335814595,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.21499997819773853,2,0.3333333333333333,1.0,1.0,1.0,0.27695001335814595,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.21499997819773853,2,0.2,1.0,1.0,1.0,0.27695001335814595,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.47649999032728374,2,1.0,1.0,1.0,1.0,0.04529999569058418,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.47649999032728374,2,0.3333333333333333,1.0,1.0,1.0,0.04529999569058418,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.47649999032728374,2,0.2,1.0,1.0,1.0,0.04529999569058418,1.0,0,0,0,True
