chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.36619999445974827,2,1.0,1.0,1.0,1.0,0.07619998359587044,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.36619999445974827,2,0.3333333333333333,1.0,1.0,1.0,0.07619998359587044,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.36619999445974827,2,0.2,1.0,1.0,1.0,0.07619998359587044,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.36619999445974827,2,1.0,1.0,1.0,1.0,0.05499999679159373,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.36619999445974827,2,0.3333333333333333,1.0,1.0,1.0,0.05499999679159373,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.36619999445974827,2,0.2,1.0,1.0,1.0,0.05499999679159373,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.36619999445974827,2,1.0,1.0,1.0,1.0,0.06059999577701092,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.36619999445974827,2,0.3333333333333333,1.0,1.0,1.0,0.06059999577701092,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.36619999445974827,2,0.2,1.0,1.0,1.0,0.06059999577701092,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.36619999445974827,2,1.0,1.0,1.0,1.0,0.18869999621529132,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.36619999445974827,2,0.3333333333333333,1.0,1.0,1.0,0.18869999621529132,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.36619999445974827,2,0.2,1.0,1.0,1.0,0.18869999621529132,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.36619999445974827,2,1.0,1.0,1.0,1.0,0.15029999485705048,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.36619999445974827,2,0.3333333333333333,1.0,1.0,1.0,0.15029999485705048,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.36619999445974827,2,0.2,1.0,1.0,1.0,0.15029999485705048,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.36619999445974827,2,1.0,1.0,1.0,1.0,0.10355000267736614,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.36619999445974827,2,0.3333333333333333,1.0,1.0,1.0,0.10355000267736614,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.36619999445974827,2,0.2,1.0,1.0,1.0,0.10355000267736614,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.24089997168630362,2,1.0,1.0,1.0,1.0,0.025200017262250185,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.24089997168630362,2,0.3333333333333333,1.0,1.0,1.0,0.025200017262250185,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.24089997168630362,2,0.2,1.0,1.0,1.0,0.025200017262250185,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.24089997168630362,2,1.0,1.0,1.0,1.0,0.02099998528137803,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.24089997168630362,2,0.3333333333333333,1.0,1.0,1.0,0.02099998528137803,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.24089997168630362,2,0.2,1.0,1.0,1.0,0.02099998528137803,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.24089997168630362,2,1.0,1.0,1.0,1.0,0.020899999071843922,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,0.24089997168630362,2,0.3333333333333333,1.0,1.0,1.0,0.020899999071843922,1.0,0,0,0,True
fixed,bm25,none,product_and_version,5,2,2,0.24089997168630362,2,0.2,1.0,1.0,1.0,0.020899999071843922,1.0,0,0,0,True
fixed,bm25,lexical,none,1,2,2,0.24089997168630362,2,1.0,1.0,1.0,1.0,0.08749998232815415,1.0,0,0,0,True
fixed,bm25,lexical,none,3,2,2,0.24089997168630362,2,0.3333333333333333,1.0,1.0,1.0,0.08749998232815415,1.0,0,0,0,True
fixed,bm25,lexical,none,5,2,2,0.24089997168630362,2,0.2,1.0,1.0,1.0,0.08749998232815415,1.0,0,0,0,True
fixed,bm25,lexical,product,1,2,2,0.24089997168630362,2,1.0,1.0,1.0,1.0,0.08904999413061887,1.0,0,0,0,True
fixed,bm25,lexical,product,3,2,2,0.24089997168630362,2,0.3333333333333333,1.0,1.0,1.0,0.08904999413061887,1.0,0,0,0,True
fixed,bm25,lexical,product,5,2,2,0.24089997168630362,2,0.2,1.0,1.0,1.0,0.08904999413061887,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,1,2,2,0.24089997168630362,2,1.0,1.0,1.0,1.0,0.08460000390186906,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,3,2,2,0.24089997168630362,2,0.3333333333333333,1.0,1.0,1.0,0.08460000390186906,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,5,2,2,0.24089997168630362,2,0.2,1.0,1.0,1.0,0.08460000390186906,1.0,0,0,0,True
fixed,hash_embedding,none,none,1,2,2,0.5747000104747713,2,1.0,1.0,1.0,1.0,0.13859999307896942,1.0,0,0,0,True
fixed,hash_embedding,none,none,3,2,2,0.5747000104747713,2,0.3333333333333333,1.0,1.0,1.0,0.13859999307896942,1.0,0,0,0,True
fixed,hash_embedding,none,none,5,2,2,0.5747000104747713,2,0.2,1.0,1.0,1.0,0.13859999307896942,1.0,0,0,0,True
fixed,hash_embedding,none,product,1,2,2,0.5747000104747713,2,1.0,1.0,1.0,1.0,0.12310002057347447,1.0,0,0,0,True
fixed,hash_embedding,none,product,3,2,2,0.5747000104747713,2,0.3333333333333333,1.0,1.0,1.0,0.12310002057347447,1.0,0,0,0,True
fixed,hash_embedding,none,product,5,2,2,0.5747000104747713,2,0.2,1.0,1.0,1.0,0.12310002057347447,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,1,2,2,0.5747000104747713,2,1.0,1.0,1.0,1.0,0.12110000534448773,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,3,2,2,0.5747000104747713,2,0.3333333333333333,1.0,1.0,1.0,0.12110000534448773,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,5,2,2,0.5747000104747713,2,0.2,1.0,1.0,1.0,0.12110000534448773,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,1,2,2,0.5747000104747713,2,1.0,1.0,1.0,1.0,0.5952000065008178,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,3,2,2,0.5747000104747713,2,0.3333333333333333,1.0,1.0,1.0,0.5952000065008178,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,5,2,2,0.5747000104747713,2,0.2,1.0,1.0,1.0,0.5952000065008178,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,1,2,2,0.5747000104747713,2,1.0,1.0,1.0,1.0,0.2786499971989542,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,3,2,2,0.5747000104747713,2,0.3333333333333333,1.0,1.0,1.0,0.2786499971989542,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,5,2,2,0.5747000104747713,2,0.2,1.0,1.0,1.0,0.2786499971989542,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,1,2,2,0.5747000104747713,2,1.0,1.0,1.0,1.0,0.3859499847749248,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,3,2,2,0.5747000104747713,2,0.3333333333333333,1.0,1.0,1.0,0.3859499847749248,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,5,2,2,0.5747000104747713,2,0.2,1.0,1.0,1.0,0.3859499847749248,1.0,0,0,0,True
fixed,hybrid,none,none,1,2,2,1.5030000067781657,2,1.0,1.0,1.0,1.0,0.3133999998681247,1.0,0,0,0,True
fixed,hybrid,none,none,3,2,2,1.5030000067781657,2,0.3333333333333333,1.0,1.0,1.0,0.3133999998681247,1.0,0,0,0,True
fixed,hybrid,none,none,5,2,2,1.5030000067781657,2,0.2,1.0,1.0,1.0,0.3133999998681247,1.0,0,0,0,True
fixed,hybrid,none,product,1,2,2,1.5030000067781657,2,1.0,1.0,1.0,1.0,0.2769000129774213,1.0,0,0,0,True
fixed,hybrid,none,product,3,2,2,1.5030000067781657,2,0.3333333333333333,1.0,1.0,1.0,0.2769000129774213,1.0,0,0,0,True
fixed,hybrid,none,product,5,2,2,1.5030000067781657,2,0.2,1.0,1.0,1.0,0.2769000129774213,1.0,0,0,0,True
fixed,hybrid,none,product_and_version,1,2,2,1.5030000067781657,2,1.0,1.0,1.0,1.0,0.2777500048978254,1.0,0,0,0,True
fixed,hybrid,none,product_and_version,3,2,2,1.5030000067781657,2,0.3333333333333333,1.0,1.0,1.0,0.2777500048978254,1.0,0,0,0,True
fixed,hybrid,none,product_and_version,5,2,2,1.5030000067781657,2,0.2,1.0,1.0,1.0,0.2777500048978254,1.0,0,0,0,True
