chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.56900002527982,2,1.0,1.0,1.0,1.0,0.14130002819001675,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.56900002527982,2,0.3333333333333333,1.0,1.0,1.0,0.14130002819001675,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.56900002527982,2,0.2,1.0,1.0,1.0,0.14130002819001675,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.56900002527982,2,1.0,1.0,1.0,1.0,0.09824999142438173,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.56900002527982,2,0.3333333333333333,1.0,1.0,1.0,0.09824999142438173,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.56900002527982,2,0.2,1.0,1.0,1.0,0.09824999142438173,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.56900002527982,2,1.0,1.0,1.0,1.0,0.06689998554065824,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.56900002527982,2,0.3333333333333333,1.0,1.0,1.0,0.06689998554065824,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.56900002527982,2,0.2,1.0,1.0,1.0,0.06689998554065824,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.56900002527982,2,1.0,1.0,1.0,1.0,0.257750041782856,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.56900002527982,2,0.3333333333333333,1.0,1.0,1.0,0.257750041782856,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.56900002527982,2,0.2,1.0,1.0,1.0,0.257750041782856,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.56900002527982,2,1.0,1.0,1.0,1.0,0.23494998458772898,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.56900002527982,2,0.3333333333333333,1.0,1.0,1.0,0.23494998458772898,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.56900002527982,2,0.2,1.0,1.0,1.0,0.23494998458772898,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.56900002527982,2,1.0,1.0,1.0,1.0,0.3349999897181988,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.56900002527982,2,0.3333333333333333,1.0,1.0,1.0,0.3349999897181988,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.56900002527982,2,0.2,1.0,1.0,1.0,0.3349999897181988,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.6852999795228243,2,1.0,1.0,1.0,1.0,0.0850000069476664,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.6852999795228243,2,0.3333333333333333,1.0,1.0,1.0,0.0850000069476664,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.6852999795228243,2,0.2,1.0,1.0,1.0,0.0850000069476664,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.6852999795228243,2,1.0,1.0,1.0,1.0,0.04795001586899161,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.6852999795228243,2,0.3333333333333333,1.0,1.0,1.0,0.04795001586899161,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.6852999795228243,2,0.2,1.0,1.0,1.0,0.04795001586899161,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.6852999795228243,2,1.0,1.0,1.0,1.0,0.055800017435103655,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,0.6852999795228243,2,0.3333333333333333,1.0,1.0,1.0,0.055800017435103655,1.0,0,0,0,True
fixed,bm25,none,product_and_version,5,2,2,0.6852999795228243,2,0.2,1.0,1.0,1.0,0.055800017435103655,1.0,0,0,0,True
fixed,bm25,lexical,none,1,2,2,0.6852999795228243,2,1.0,1.0,1.0,1.0,0.19525003153830767,1.0,0,0,0,True
fixed,bm25,lexical,none,3,2,2,0.6852999795228243,2,0.3333333333333333,1.0,1.0,1.0,0.19525003153830767,1.0,0,0,0,True
fixed,bm25,lexical,none,5,2,2,0.6852999795228243,2,0.2,1.0,1.0,1.0,0.19525003153830767,1.0,0,0,0,True
fixed,bm25,lexical,product,1,2,2,0.6852999795228243,2,1.0,1.0,1.0,1.0,0.18324999837204814,1.0,0,0,0,True
fixed,bm25,lexical,product,3,2,2,0.6852999795228243,2,0.3333333333333333,1.0,1.0,1.0,0.18324999837204814,1.0,0,0,0,True
fixed,bm25,lexical,product,5,2,2,0.6852999795228243,2,0.2,1.0,1.0,1.0,0.18324999837204814,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,1,2,2,0.6852999795228243,2,1.0,1.0,1.0,1.0,0.20129996119067073,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,3,2,2,0.6852999795228243,2,0.3333333333333333,1.0,1.0,1.0,0.20129996119067073,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,5,2,2,0.6852999795228243,2,0.2,1.0,1.0,1.0,0.20129996119067073,1.0,0,0,0,True
fixed,hash_embedding,none,none,1,2,2,1.5804000431671739,2,1.0,1.0,1.0,1.0,0.38809998659417033,1.0,0,0,0,True
fixed,hash_embedding,none,none,3,2,2,1.5804000431671739,2,0.3333333333333333,1.0,1.0,1.0,0.38809998659417033,1.0,0,0,0,True
fixed,hash_embedding,none,none,5,2,2,1.5804000431671739,2,0.2,1.0,1.0,1.0,0.38809998659417033,1.0,0,0,0,True
fixed,hash_embedding,none,product,1,2,2,1.5804000431671739,2,1.0,1.0,1.0,1.0,0.33329997677356005,1.0,0,0,0,True
