chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.2610000083222985,2,1.0,1.0,1.0,1.0,0.07929999264888465,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.2610000083222985,2,0.3333333333333333,1.0,1.0,1.0,0.07929999264888465,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.2610000083222985,2,0.2,1.0,1.0,1.0,0.07929999264888465,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.2610000083222985,2,1.0,1.0,1.0,1.0,0.049000009312294424,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.2610000083222985,2,0.3333333333333333,1.0,1.0,1.0,0.049000009312294424,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.2610000083222985,2,0.2,1.0,1.0,1.0,0.049000009312294424,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.2610000083222985,2,1.0,1.0,1.0,1.0,0.03575001028366387,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.2610000083222985,2,0.3333333333333333,1.0,1.0,1.0,0.03575001028366387,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.2610000083222985,2,0.2,1.0,1.0,1.0,0.03575001028366387,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.2610000083222985,2,1.0,1.0,1.0,1.0,0.1750999945215881,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.2610000083222985,2,0.3333333333333333,1.0,1.0,1.0,0.1750999945215881,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.2610000083222985,2,0.2,1.0,1.0,1.0,0.1750999945215881,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.2610000083222985,2,1.0,1.0,1.0,1.0,0.13655000657308847,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.2610000083222985,2,0.3333333333333333,1.0,1.0,1.0,0.13655000657308847,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.2610000083222985,2,0.2,1.0,1.0,1.0,0.13655000657308847,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.2610000083222985,2,1.0,1.0,1.0,1.0,0.1316499983659014,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.2610000083222985,2,0.3333333333333333,1.0,1.0,1.0,0.1316499983659014,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.2610000083222985,2,0.2,1.0,1.0,1.0,0.1316499983659014,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.295000005280599,2,1.0,1.0,1.0,1.0,0.03185000969097018,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.295000005280599,2,0.3333333333333333,1.0,1.0,1.0,0.03185000969097018,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.295000005280599,2,0.2,1.0,1.0,1.0,0.03185000969097018,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.295000005280599,2,1.0,1.0,1.0,1.0,0.0261999957729131,1.0,0,0,0,True
