chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.23360000341199338,2,1.0,1.0,1.0,1.0,0.0808500190032646,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.23360000341199338,2,0.3333333333333333,1.0,1.0,1.0,0.0808500190032646,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.23360000341199338,2,0.2,1.0,1.0,1.0,0.0808500190032646,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.23360000341199338,2,1.0,1.0,1.0,1.0,0.04134999471716583,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.23360000341199338,2,0.3333333333333333,1.0,1.0,1.0,0.04134999471716583,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.23360000341199338,2,0.2,1.0,1.0,1.0,0.04134999471716583,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.23360000341199338,2,1.0,1.0,1.0,1.0,0.03169999399688095,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.23360000341199338,2,0.3333333333333333,1.0,1.0,1.0,0.03169999399688095,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.23360000341199338,2,0.2,1.0,1.0,1.0,0.03169999399688095,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.23360000341199338,2,1.0,1.0,1.0,1.0,0.11305000225547701,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.23360000341199338,2,0.3333333333333333,1.0,1.0,1.0,0.11305000225547701,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.23360000341199338,2,0.2,1.0,1.0,1.0,0.11305000225547701,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.23360000341199338,2,1.0,1.0,1.0,1.0,0.15764999261591583,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.23360000341199338,2,0.3333333333333333,1.0,1.0,1.0,0.15764999261591583,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.23360000341199338,2,0.2,1.0,1.0,1.0,0.15764999261591583,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.23360000341199338,2,1.0,1.0,1.0,1.0,0.1602999836904928,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.23360000341199338,2,0.3333333333333333,1.0,1.0,1.0,0.1602999836904928,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.23360000341199338,2,0.2,1.0,1.0,1.0,0.1602999836904928,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.38949999725446105,2,1.0,1.0,1.0,1.0,0.03945000935345888,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.38949999725446105,2,0.3333333333333333,1.0,1.0,1.0,0.03945000935345888,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.38949999725446105,2,0.2,1.0,1.0,1.0,0.03945000935345888,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.38949999725446105,2,1.0,1.0,1.0,1.0,0.031799994758330286,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.38949999725446105,2,0.3333333333333333,1.0,1.0,1.0,0.031799994758330286,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.38949999725446105,2,0.2,1.0,1.0,1.0,0.031799994758330286,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.38949999725446105,2,1.0,1.0,1.0,1.0,0.032800002372823656,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,0.38949999725446105,2,0.3333333333333333,1.0,1.0,1.0,0.032800002372823656,1.0,0,0,0,True
fixed,bm25,none,product_and_version,5,2,2,0.38949999725446105,2,0.2,1.0,1.0,1.0,0.032800002372823656,1.0,0,0,0,True
fixed,bm25,lexical,none,1,2,2,0.38949999725446105,2,1.0,1.0,1.0,1.0,0.14659999578725547,1.0,0,0,0,True
fixed,bm25,lexical,none,3,2,2,0.38949999725446105,2,0.3333333333333333,1.0,1.0,1.0,0.14659999578725547,1.0,0,0,0,True
fixed,bm25,lexical,none,5,2,2,0.38949999725446105,2,0.2,1.0,1.0,1.0,0.14659999578725547,1.0,0,0,0,True
fixed,bm25,lexical,product,1,2,2,0.38949999725446105,2,1.0,1.0,1.0,1.0,0.13405000208877027,1.0,0,0,0,True
fixed,bm25,lexical,product,3,2,2,0.38949999725446105,2,0.3333333333333333,1.0,1.0,1.0,0.13405000208877027,1.0,0,0,0,True
fixed,bm25,lexical,product,5,2,2,0.38949999725446105,2,0.2,1.0,1.0,1.0,0.13405000208877027,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,1,2,2,0.38949999725446105,2,1.0,1.0,1.0,1.0,0.13425000361166894,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,3,2,2,0.38949999725446105,2,0.3333333333333333,1.0,1.0,1.0,0.13425000361166894,1.0,0,0,0,True
