chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.40199991781264544,2,1.0,1.0,1.0,1.0,0.10075001046061516,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.40199991781264544,2,0.3333333333333333,1.0,1.0,1.0,0.10075001046061516,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.40199991781264544,2,0.2,1.0,1.0,1.0,0.10075001046061516,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.40199991781264544,2,1.0,1.0,1.0,1.0,0.043849984649568796,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.40199991781264544,2,0.3333333333333333,1.0,1.0,1.0,0.043849984649568796,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.40199991781264544,2,0.2,1.0,1.0,1.0,0.043849984649568796,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.40199991781264544,2,1.0,1.0,1.0,1.0,0.03900006413459778,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.40199991781264544,2,0.3333333333333333,1.0,1.0,1.0,0.03900006413459778,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.40199991781264544,2,0.2,1.0,1.0,1.0,0.03900006413459778,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.40199991781264544,2,1.0,1.0,1.0,1.0,0.12465001782402396,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.40199991781264544,2,0.3333333333333333,1.0,1.0,1.0,0.12465001782402396,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.40199991781264544,2,0.2,1.0,1.0,1.0,0.12465001782402396,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.40199991781264544,2,1.0,1.0,1.0,1.0,0.10399991879239678,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.40199991781264544,2,0.3333333333333333,1.0,1.0,1.0,0.10399991879239678,1.0,0,0,0,True
