chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.3415999235585332,2,1.0,1.0,1.0,1.0,0.07185002323240042,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.3415999235585332,2,0.3333333333333333,1.0,1.0,1.0,0.07185002323240042,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.3415999235585332,2,0.2,1.0,1.0,1.0,0.07185002323240042,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.3415999235585332,2,1.0,1.0,1.0,1.0,0.051550043281167746,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.3415999235585332,2,0.3333333333333333,1.0,1.0,1.0,0.051550043281167746,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.3415999235585332,2,0.2,1.0,1.0,1.0,0.051550043281167746,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.3415999235585332,2,1.0,1.0,1.0,1.0,0.04715000977739692,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.3415999235585332,2,0.3333333333333333,1.0,1.0,1.0,0.04715000977739692,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.3415999235585332,2,0.2,1.0,1.0,1.0,0.04715000977739692,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.3415999235585332,2,1.0,1.0,1.0,1.0,0.1760500017553568,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.3415999235585332,2,0.3333333333333333,1.0,1.0,1.0,0.1760500017553568,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.3415999235585332,2,0.2,1.0,1.0,1.0,0.1760500017553568,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.3415999235585332,2,1.0,1.0,1.0,1.0,0.14464999549090862,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.3415999235585332,2,0.3333333333333333,1.0,1.0,1.0,0.14464999549090862,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.3415999235585332,2,0.2,1.0,1.0,1.0,0.14464999549090862,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.3415999235585332,2,1.0,1.0,1.0,1.0,0.13904995284974575,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.3415999235585332,2,0.3333333333333333,1.0,1.0,1.0,0.13904995284974575,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.3415999235585332,2,0.2,1.0,1.0,1.0,0.13904995284974575,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.33650000113993883,2,1.0,1.0,1.0,1.0,0.04199997056275606,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.33650000113993883,2,0.3333333333333333,1.0,1.0,1.0,0.04199997056275606,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.33650000113993883,2,0.2,1.0,1.0,1.0,0.04199997056275606,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.33650000113993883,2,1.0,1.0,1.0,1.0,0.03200001083314419,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.33650000113993883,2,0.3333333333333333,1.0,1.0,1.0,0.03200001083314419,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.33650000113993883,2,0.2,1.0,1.0,1.0,0.03200001083314419,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.33650000113993883,2,1.0,1.0,1.0,1.0,0.031150062568485737,1.0,0,0,0,True
