chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.43349998304620385,2,1.0,1.0,1.0,1.0,0.07850000110920519,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.43349998304620385,2,0.3333333333333333,1.0,1.0,1.0,0.07850000110920519,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.43349998304620385,2,0.2,1.0,1.0,1.0,0.07850000110920519,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.43349998304620385,2,1.0,1.0,1.0,1.0,0.069500005338341,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.43349998304620385,2,0.3333333333333333,1.0,1.0,1.0,0.069500005338341,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.43349998304620385,2,0.2,1.0,1.0,1.0,0.069500005338341,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.43349998304620385,2,1.0,1.0,1.0,1.0,0.05744998634327203,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.43349998304620385,2,0.3333333333333333,1.0,1.0,1.0,0.05744998634327203,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.43349998304620385,2,0.2,1.0,1.0,1.0,0.05744998634327203,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.43349998304620385,2,1.0,1.0,1.0,1.0,0.2109500055667013,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.43349998304620385,2,0.3333333333333333,1.0,1.0,1.0,0.2109500055667013,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.43349998304620385,2,0.2,1.0,1.0,1.0,0.2109500055667013,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.43349998304620385,2,1.0,1.0,1.0,1.0,0.21645000379066914,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.43349998304620385,2,0.3333333333333333,1.0,1.0,1.0,0.21645000379066914,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.43349998304620385,2,0.2,1.0,1.0,1.0,0.21645000379066914,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.43349998304620385,2,1.0,1.0,1.0,1.0,0.20634999964386225,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.43349998304620385,2,0.3333333333333333,1.0,1.0,1.0,0.20634999964386225,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.43349998304620385,2,0.2,1.0,1.0,1.0,0.20634999964386225,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.440800009528175,2,1.0,1.0,1.0,1.0,0.053750001825392246,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.440800009528175,2,0.3333333333333333,1.0,1.0,1.0,0.053750001825392246,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.440800009528175,2,0.2,1.0,1.0,1.0,0.053750001825392246,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.440800009528175,2,1.0,1.0,1.0,1.0,0.038650003261864185,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.440800009528175,2,0.3333333333333333,1.0,1.0,1.0,0.038650003261864185,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.440800009528175,2,0.2,1.0,1.0,1.0,0.038650003261864185,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.440800009528175,2,1.0,1.0,1.0,1.0,0.03860000288113952,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,0.440800009528175,2,0.3333333333333333,1.0,1.0,1.0,0.03860000288113952,1.0,0,0,0,True
fixed,bm25,none,product_and_version,5,2,2,0.440800009528175,2,0.2,1.0,1.0,1.0,0.03860000288113952,1.0,0,0,0,True
fixed,bm25,lexical,none,1,2,2,0.440800009528175,2,1.0,1.0,1.0,1.0,0.1767999929143116,1.0,0,0,0,True
fixed,bm25,lexical,none,3,2,2,0.440800009528175,2,0.3333333333333333,1.0,1.0,1.0,0.1767999929143116,1.0,0,0,0,True
fixed,bm25,lexical,none,5,2,2,0.440800009528175,2,0.2,1.0,1.0,1.0,0.1767999929143116,1.0,0,0,0,True
fixed,bm25,lexical,product,1,2,2,0.440800009528175,2,1.0,1.0,1.0,1.0,0.17449998995289207,1.0,0,0,0,True
fixed,bm25,lexical,product,3,2,2,0.440800009528175,2,0.3333333333333333,1.0,1.0,1.0,0.17449998995289207,1.0,0,0,0,True
fixed,bm25,lexical,product,5,2,2,0.440800009528175,2,0.2,1.0,1.0,1.0,0.17449998995289207,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,1,2,2,0.440800009528175,2,1.0,1.0,1.0,1.0,0.15959999291226268,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,3,2,2,0.440800009528175,2,0.3333333333333333,1.0,1.0,1.0,0.15959999291226268,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,5,2,2,0.440800009528175,2,0.2,1.0,1.0,1.0,0.15959999291226268,1.0,0,0,0,True
fixed,hash_embedding,none,none,1,2,2,1.0717999830376357,2,1.0,1.0,1.0,1.0,0.25939999613910913,1.0,0,0,0,True
fixed,hash_embedding,none,none,3,2,2,1.0717999830376357,2,0.3333333333333333,1.0,1.0,1.0,0.25939999613910913,1.0,0,0,0,True
fixed,hash_embedding,none,none,5,2,2,1.0717999830376357,2,0.2,1.0,1.0,1.0,0.25939999613910913,1.0,0,0,0,True
fixed,hash_embedding,none,product,1,2,2,1.0717999830376357,2,1.0,1.0,1.0,1.0,0.20810001296922565,1.0,0,0,0,True
fixed,hash_embedding,none,product,3,2,2,1.0717999830376357,2,0.3333333333333333,1.0,1.0,1.0,0.20810001296922565,1.0,0,0,0,True
fixed,hash_embedding,none,product,5,2,2,1.0717999830376357,2,0.2,1.0,1.0,1.0,0.20810001296922565,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,1,2,2,1.0717999830376357,2,1.0,1.0,1.0,1.0,0.17510002362541854,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,3,2,2,1.0717999830376357,2,0.3333333333333333,1.0,1.0,1.0,0.17510002362541854,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,5,2,2,1.0717999830376357,2,0.2,1.0,1.0,1.0,0.17510002362541854,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,1,2,2,1.0717999830376357,2,1.0,1.0,1.0,1.0,0.41200000850949436,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,3,2,2,1.0717999830376357,2,0.3333333333333333,1.0,1.0,1.0,0.41200000850949436,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,5,2,2,1.0717999830376357,2,0.2,1.0,1.0,1.0,0.41200000850949436,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,1,2,2,1.0717999830376357,2,1.0,1.0,1.0,1.0,0.5447500006994233,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,3,2,2,1.0717999830376357,2,0.3333333333333333,1.0,1.0,1.0,0.5447500006994233,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,5,2,2,1.0717999830376357,2,0.2,1.0,1.0,1.0,0.5447500006994233,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,1,2,2,1.0717999830376357,2,1.0,1.0,1.0,1.0,0.4160000098636374,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,3,2,2,1.0717999830376357,2,0.3333333333333333,1.0,1.0,1.0,0.4160000098636374,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,5,2,2,1.0717999830376357,2,0.2,1.0,1.0,1.0,0.4160000098636374,1.0,0,0,0,True
fixed,hybrid,none,none,1,2,2,1.1915999930351973,2,1.0,1.0,1.0,1.0,0.23865001276135445,1.0,0,0,0,True
fixed,hybrid,none,none,3,2,2,1.1915999930351973,2,0.3333333333333333,1.0,1.0,1.0,0.23865001276135445,1.0,0,0,0,True
fixed,hybrid,none,none,5,2,2,1.1915999930351973,2,0.2,1.0,1.0,1.0,0.23865001276135445,1.0,0,0,0,True
fixed,hybrid,none,product,1,2,2,1.1915999930351973,2,1.0,1.0,1.0,1.0,0.2706499944906682,1.0,0,0,0,True
fixed,hybrid,none,product,3,2,2,1.1915999930351973,2,0.3333333333333333,1.0,1.0,1.0,0.2706499944906682,1.0,0,0,0,True
fixed,hybrid,none,product,5,2,2,1.1915999930351973,2,0.2,1.0,1.0,1.0,0.2706499944906682,1.0,0,0,0,True
fixed,hybrid,none,product_and_version,1,2,2,1.1915999930351973,2,1.0,1.0,1.0,1.0,0.5918500100960955,1.0,0,0,0,True
fixed,hybrid,none,product_and_version,3,2,2,1.1915999930351973,2,0.3333333333333333,1.0,1.0,1.0,0.5918500100960955,1.0,0,0,0,True
fixed,hybrid,none,product_and_version,5,2,2,1.1915999930351973,2,0.2,1.0,1.0,1.0,0.5918500100960955,1.0,0,0,0,True
fixed,hybrid,lexical,none,1,2,2,1.1915999930351973,2,1.0,1.0,1.0,1.0,0.6338499806588516,1.0,0,0,0,True
fixed,hybrid,lexical,none,3,2,2,1.1915999930351973,2,0.3333333333333333,1.0,1.0,1.0,0.6338499806588516,1.0,0,0,0,True
fixed,hybrid,lexical,none,5,2,2,1.1915999930351973,2,0.2,1.0,1.0,1.0,0.6338499806588516,1.0,0,0,0,True
fixed,hybrid,lexical,product,1,2,2,1.1915999930351973,2,1.0,1.0,1.0,1.0,0.3337499947519973,1.0,0,0,0,True
fixed,hybrid,lexical,product,3,2,2,1.1915999930351973,2,0.3333333333333333,1.0,1.0,1.0,0.3337499947519973,1.0,0,0,0,True
fixed,hybrid,lexical,product,5,2,2,1.1915999930351973,2,0.2,1.0,1.0,1.0,0.3337499947519973,1.0,0,0,0,True
fixed,hybrid,lexical,product_and_version,1,2,2,1.1915999930351973,2,1.0,1.0,1.0,1.0,0.4192500055069104,1.0,0,0,0,True
fixed,hybrid,lexical,product_and_version,3,2,2,1.1915999930351973,2,0.3333333333333333,1.0,1.0,1.0,0.4192500055069104,1.0,0,0,0,True
fixed,hybrid,lexical,product_and_version,5,2,2,1.1915999930351973,2,0.2,1.0,1.0,1.0,0.4192500055069104,1.0,0,0,0,True
paragraph,keyword,none,none,1,2,8,0.32890000147745013,2,1.0,1.0,1.0,1.0,0.06629999552387744,1.0,0,0,0,True
paragraph,keyword,none,none,3,2,8,0.32890000147745013,2,0.3333333333333333,1.0,1.0,1.0,0.06629999552387744,1.0,0,0,0,True
paragraph,keyword,none,none,5,2,8,0.32890000147745013,2,0.2,1.0,1.0,1.0,0.06629999552387744,1.0,0,0,0,True
paragraph,keyword,none,product,1,2,8,0.32890000147745013,2,1.0,1.0,1.0,1.0,0.06905000191181898,1.0,0,0,0,True
paragraph,keyword,none,product,3,2,8,0.32890000147745013,2,0.3333333333333333,1.0,1.0,1.0,0.06905000191181898,1.0,0,0,0,True
paragraph,keyword,none,product,5,2,8,0.32890000147745013,2,0.2,1.0,1.0,1.0,0.06905000191181898,1.0,0,0,0,True
paragraph,keyword,none,product_and_version,1,2,8,0.32890000147745013,2,1.0,1.0,1.0,1.0,0.08545001037418842,1.0,0,0,0,True
paragraph,keyword,none,product_and_version,3,2,8,0.32890000147745013,2,0.3333333333333333,1.0,1.0,1.0,0.08545001037418842,1.0,0,0,0,True
paragraph,keyword,none,product_and_version,5,2,8,0.32890000147745013,2,0.2,1.0,1.0,1.0,0.08545001037418842,1.0,0,0,0,True
paragraph,keyword,lexical,none,1,2,8,0.32890000147745013,2,1.0,1.0,1.0,1.0,0.1312500098720193,1.0,0,0,0,True
paragraph,keyword,lexical,none,3,2,8,0.32890000147745013,2,0.3333333333333333,1.0,1.0,1.0,0.1312500098720193,1.0,0,0,0,True
paragraph,keyword,lexical,none,5,2,8,0.32890000147745013,2,0.2,1.0,1.0,1.0,0.1312500098720193,1.0,0,0,0,True
paragraph,keyword,lexical,product,1,2,8,0.32890000147745013,2,1.0,1.0,1.0,1.0,0.1255999959539622,1.0,0,0,0,True
paragraph,keyword,lexical,product,3,2,8,0.32890000147745013,2,0.3333333333333333,1.0,1.0,1.0,0.1255999959539622,1.0,0,0,0,True
paragraph,keyword,lexical,product,5,2,8,0.32890000147745013,2,0.2,1.0,1.0,1.0,0.1255999959539622,1.0,0,0,0,True
paragraph,keyword,lexical,product_and_version,1,2,8,0.32890000147745013,2,1.0,1.0,1.0,1.0,0.12549999519251287,1.0,0,0,0,True
paragraph,keyword,lexical,product_and_version,3,2,8,0.32890000147745013,2,0.3333333333333333,1.0,1.0,1.0,0.12549999519251287,1.0,0,0,0,True
paragraph,keyword,lexical,product_and_version,5,2,8,0.32890000147745013,2,0.2,1.0,1.0,1.0,0.12549999519251287,1.0,0,0,0,True
paragraph,bm25,none,none,1,2,8,0.6074999982956797,2,1.0,1.0,1.0,1.0,0.10304999887011945,1.0,0,0,0,True
paragraph,bm25,none,none,3,2,8,0.6074999982956797,2,0.3333333333333333,1.0,1.0,1.0,0.10304999887011945,1.0,0,0,0,True
paragraph,bm25,none,none,5,2,8,0.6074999982956797,2,0.2,1.0,1.0,1.0,0.10304999887011945,1.0,0,0,0,True
paragraph,bm25,none,product,1,2,8,0.6074999982956797,2,1.0,1.0,1.0,1.0,0.07729999197181314,1.0,0,0,0,True
paragraph,bm25,none,product,3,2,8,0.6074999982956797,2,0.3333333333333333,1.0,1.0,1.0,0.07729999197181314,1.0,0,0,0,True
paragraph,bm25,none,product,5,2,8,0.6074999982956797,2,0.2,1.0,1.0,1.0,0.07729999197181314,1.0,0,0,0,True
paragraph,bm25,none,product_and_version,1,2,8,0.6074999982956797,2,1.0,1.0,1.0,1.0,0.06969999230932444,1.0,0,0,0,True
paragraph,bm25,none,product_and_version,3,2,8,0.6074999982956797,2,0.3333333333333333,1.0,1.0,1.0,0.06969999230932444,1.0,0,0,0,True
paragraph,bm25,none,product_and_version,5,2,8,0.6074999982956797,2,0.2,1.0,1.0,1.0,0.06969999230932444,1.0,0,0,0,True
paragraph,bm25,lexical,none,1,2,8,0.6074999982956797,2,1.0,1.0,1.0,1.0,0.18060000729747117,1.0,0,0,0,True
paragraph,bm25,lexical,none,3,2,8,0.6074999982956797,2,0.3333333333333333,1.0,1.0,1.0,0.18060000729747117,1.0,0,0,0,True
paragraph,bm25,lexical,none,5,2,8,0.6074999982956797,2,0.2,1.0,1.0,1.0,0.18060000729747117,1.0,0,0,0,True
paragraph,bm25,lexical,product,1,2,8,0.6074999982956797,2,1.0,1.0,1.0,1.0,0.1832999987527728,1.0,0,0,0,True
paragraph,bm25,lexical,product,3,2,8,0.6074999982956797,2,0.3333333333333333,1.0,1.0,1.0,0.1832999987527728,1.0,0,0,0,True
paragraph,bm25,lexical,product,5,2,8,0.6074999982956797,2,0.2,1.0,1.0,1.0,0.1832999987527728,1.0,0,0,0,True
paragraph,bm25,lexical,product_and_version,1,2,8,0.6074999982956797,2,1.0,1.0,1.0,1.0,0.1942499802680686,1.0,0,0,0,True
paragraph,bm25,lexical,product_and_version,3,2,8,0.6074999982956797,2,0.3333333333333333,1.0,1.0,1.0,0.1942499802680686,1.0,0,0,0,True
paragraph,bm25,lexical,product_and_version,5,2,8,0.6074999982956797,2,0.2,1.0,1.0,1.0,0.1942499802680686,1.0,0,0,0,True
