chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.33779998193494976,2,1.0,1.0,1.0,1.0,0.07394999556709081,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.33779998193494976,2,0.3333333333333333,1.0,1.0,1.0,0.07394999556709081,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.33779998193494976,2,0.2,1.0,1.0,1.0,0.07394999556709081,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.33779998193494976,2,1.0,1.0,1.0,1.0,0.060000005760230124,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.33779998193494976,2,0.3333333333333333,1.0,1.0,1.0,0.060000005760230124,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.33779998193494976,2,0.2,1.0,1.0,1.0,0.060000005760230124,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.33779998193494976,2,1.0,1.0,1.0,1.0,0.049349997425451875,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.33779998193494976,2,0.3333333333333333,1.0,1.0,1.0,0.049349997425451875,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.33779998193494976,2,0.2,1.0,1.0,1.0,0.049349997425451875,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.33779998193494976,2,1.0,1.0,1.0,1.0,0.20594998204614967,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.33779998193494976,2,0.3333333333333333,1.0,1.0,1.0,0.20594998204614967,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.33779998193494976,2,0.2,1.0,1.0,1.0,0.20594998204614967,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.33779998193494976,2,1.0,1.0,1.0,1.0,0.19115000031888485,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.33779998193494976,2,0.3333333333333333,1.0,1.0,1.0,0.19115000031888485,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.33779998193494976,2,0.2,1.0,1.0,1.0,0.19115000031888485,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.33779998193494976,2,1.0,1.0,1.0,1.0,0.19364999025128782,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.33779998193494976,2,0.3333333333333333,1.0,1.0,1.0,0.19364999025128782,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.33779998193494976,2,0.2,1.0,1.0,1.0,0.19364999025128782,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.381799996830523,2,1.0,1.0,1.0,1.0,0.04430000262800604,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.381799996830523,2,0.3333333333333333,1.0,1.0,1.0,0.04430000262800604,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.381799996830523,2,0.2,1.0,1.0,1.0,0.04430000262800604,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.381799996830523,2,1.0,1.0,1.0,1.0,0.041749997762963176,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.381799996830523,2,0.3333333333333333,1.0,1.0,1.0,0.041749997762963176,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.381799996830523,2,0.2,1.0,1.0,1.0,0.041749997762963176,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.381799996830523,2,1.0,1.0,1.0,1.0,0.027299989596940577,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,0.381799996830523,2,0.3333333333333333,1.0,1.0,1.0,0.027299989596940577,1.0,0,0,0,True
fixed,bm25,none,product_and_version,5,2,2,0.381799996830523,2,0.2,1.0,1.0,1.0,0.027299989596940577,1.0,0,0,0,True
fixed,bm25,lexical,none,1,2,2,0.381799996830523,2,1.0,1.0,1.0,1.0,0.10215000656899065,1.0,0,0,0,True
fixed,bm25,lexical,none,3,2,2,0.381799996830523,2,0.3333333333333333,1.0,1.0,1.0,0.10215000656899065,1.0,0,0,0,True
fixed,bm25,lexical,none,5,2,2,0.381799996830523,2,0.2,1.0,1.0,1.0,0.10215000656899065,1.0,0,0,0,True
fixed,bm25,lexical,product,1,2,2,0.381799996830523,2,1.0,1.0,1.0,1.0,0.10539998766034842,1.0,0,0,0,True
fixed,bm25,lexical,product,3,2,2,0.381799996830523,2,0.3333333333333333,1.0,1.0,1.0,0.10539998766034842,1.0,0,0,0,True
fixed,bm25,lexical,product,5,2,2,0.381799996830523,2,0.2,1.0,1.0,1.0,0.10539998766034842,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,1,2,2,0.381799996830523,2,1.0,1.0,1.0,1.0,0.10504999954719096,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,3,2,2,0.381799996830523,2,0.3333333333333333,1.0,1.0,1.0,0.10504999954719096,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,5,2,2,0.381799996830523,2,0.2,1.0,1.0,1.0,0.10504999954719096,1.0,0,0,0,True
fixed,hash_embedding,none,none,1,2,2,1.5619999903719872,2,1.0,1.0,1.0,1.0,0.4626500012818724,1.0,0,0,0,True
fixed,hash_embedding,none,none,3,2,2,1.5619999903719872,2,0.3333333333333333,1.0,1.0,1.0,0.4626500012818724,1.0,0,0,0,True
