chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.22159999934956431,2,1.0,1.0,1.0,1.0,0.05529999907594174,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.22159999934956431,2,0.3333333333333333,1.0,1.0,1.0,0.05529999907594174,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.22159999934956431,2,0.2,1.0,1.0,1.0,0.05529999907594174,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.22159999934956431,2,1.0,1.0,1.0,1.0,0.03685000410769135,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.22159999934956431,2,0.3333333333333333,1.0,1.0,1.0,0.03685000410769135,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.22159999934956431,2,0.2,1.0,1.0,1.0,0.03685000410769135,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.22159999934956431,2,1.0,1.0,1.0,1.0,0.03640000068116933,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.22159999934956431,2,0.3333333333333333,1.0,1.0,1.0,0.03640000068116933,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.22159999934956431,2,0.2,1.0,1.0,1.0,0.03640000068116933,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.22159999934956431,2,1.0,1.0,1.0,1.0,0.2664499916136265,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.22159999934956431,2,0.3333333333333333,1.0,1.0,1.0,0.2664499916136265,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.22159999934956431,2,0.2,1.0,1.0,1.0,0.2664499916136265,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.22159999934956431,2,1.0,1.0,1.0,1.0,0.1051500003086403,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.22159999934956431,2,0.3333333333333333,1.0,1.0,1.0,0.1051500003086403,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.22159999934956431,2,0.2,1.0,1.0,1.0,0.1051500003086403,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.22159999934956431,2,1.0,1.0,1.0,1.0,0.09849999332800508,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.22159999934956431,2,0.3333333333333333,1.0,1.0,1.0,0.09849999332800508,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.22159999934956431,2,0.2,1.0,1.0,1.0,0.09849999332800508,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.23599999258294702,2,1.0,1.0,1.0,1.0,0.02580000727903098,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.23599999258294702,2,0.3333333333333333,1.0,1.0,1.0,0.02580000727903098,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.23599999258294702,2,0.2,1.0,1.0,1.0,0.02580000727903098,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.23599999258294702,2,1.0,1.0,1.0,1.0,0.022099993657320738,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.23599999258294702,2,0.3333333333333333,1.0,1.0,1.0,0.022099993657320738,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.23599999258294702,2,0.2,1.0,1.0,1.0,0.022099993657320738,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.23599999258294702,2,1.0,1.0,1.0,1.0,0.021750005544163287,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,0.23599999258294702,2,0.3333333333333333,1.0,1.0,1.0,0.021750005544163287,1.0,0,0,0,True
fixed,bm25,none,product_and_version,5,2,2,0.23599999258294702,2,0.2,1.0,1.0,1.0,0.021750005544163287,1.0,0,0,0,True
fixed,bm25,lexical,none,1,2,2,0.23599999258294702,2,1.0,1.0,1.0,1.0,0.08910000906325877,1.0,0,0,0,True
fixed,bm25,lexical,none,3,2,2,0.23599999258294702,2,0.3333333333333333,1.0,1.0,1.0,0.08910000906325877,1.0,0,0,0,True
fixed,bm25,lexical,none,5,2,2,0.23599999258294702,2,0.2,1.0,1.0,1.0,0.08910000906325877,1.0,0,0,0,True
fixed,bm25,lexical,product,1,2,2,0.23599999258294702,2,1.0,1.0,1.0,1.0,0.08415000047534704,1.0,0,0,0,True
fixed,bm25,lexical,product,3,2,2,0.23599999258294702,2,0.3333333333333333,1.0,1.0,1.0,0.08415000047534704,1.0,0,0,0,True
fixed,bm25,lexical,product,5,2,2,0.23599999258294702,2,0.2,1.0,1.0,1.0,0.08415000047534704,1.0,0,0,0,True
