chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.2867999719455838,2,1.0,1.0,1.0,1.0,0.0647000124445185,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.2867999719455838,2,0.3333333333333333,1.0,1.0,1.0,0.0647000124445185,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.2867999719455838,2,0.2,1.0,1.0,1.0,0.0647000124445185,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.2867999719455838,2,1.0,1.0,1.0,1.0,0.05635000707115978,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.2867999719455838,2,0.3333333333333333,1.0,1.0,1.0,0.05635000707115978,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.2867999719455838,2,0.2,1.0,1.0,1.0,0.05635000707115978,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.2867999719455838,2,1.0,1.0,1.0,1.0,0.06599999323952943,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.2867999719455838,2,0.3333333333333333,1.0,1.0,1.0,0.06599999323952943,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.2867999719455838,2,0.2,1.0,1.0,1.0,0.06599999323952943,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.2867999719455838,2,1.0,1.0,1.0,1.0,0.23564998991787434,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.2867999719455838,2,0.3333333333333333,1.0,1.0,1.0,0.23564998991787434,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.2867999719455838,2,0.2,1.0,1.0,1.0,0.23564998991787434,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.2867999719455838,2,1.0,1.0,1.0,1.0,0.16404999769292772,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.2867999719455838,2,0.3333333333333333,1.0,1.0,1.0,0.16404999769292772,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.2867999719455838,2,0.2,1.0,1.0,1.0,0.16404999769292772,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.2867999719455838,2,1.0,1.0,1.0,1.0,0.14575000386685133,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.2867999719455838,2,0.3333333333333333,1.0,1.0,1.0,0.14575000386685133,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.2867999719455838,2,0.2,1.0,1.0,1.0,0.14575000386685133,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.3563000063877553,2,1.0,1.0,1.0,1.0,0.04435000300873071,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.3563000063877553,2,0.3333333333333333,1.0,1.0,1.0,0.04435000300873071,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.3563000063877553,2,0.2,1.0,1.0,1.0,0.04435000300873071,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.3563000063877553,2,1.0,1.0,1.0,1.0,0.029950009775348008,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.3563000063877553,2,0.3333333333333333,1.0,1.0,1.0,0.029950009775348008,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.3563000063877553,2,0.2,1.0,1.0,1.0,0.029950009775348008,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.3563000063877553,2,1.0,1.0,1.0,1.0,0.028400012524798512,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,0.3563000063877553,2,0.3333333333333333,1.0,1.0,1.0,0.028400012524798512,1.0,0,0,0,True
