chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.8105000015348196,2,1.0,1.0,1.0,1.0,0.19410000822972506,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.8105000015348196,2,0.3333333333333333,1.0,1.0,1.0,0.19410000822972506,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.8105000015348196,2,0.2,1.0,1.0,1.0,0.19410000822972506,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.8105000015348196,2,1.0,1.0,1.0,1.0,0.12495000555645674,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.8105000015348196,2,0.3333333333333333,1.0,1.0,1.0,0.12495000555645674,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.8105000015348196,2,0.2,1.0,1.0,1.0,0.12495000555645674,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.8105000015348196,2,1.0,1.0,1.0,1.0,0.08274998981505632,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.8105000015348196,2,0.3333333333333333,1.0,1.0,1.0,0.08274998981505632,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.8105000015348196,2,0.2,1.0,1.0,1.0,0.08274998981505632,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.8105000015348196,2,1.0,1.0,1.0,1.0,0.4648000031011179,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.8105000015348196,2,0.3333333333333333,1.0,1.0,1.0,0.4648000031011179,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.8105000015348196,2,0.2,1.0,1.0,1.0,0.4648000031011179,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.8105000015348196,2,1.0,1.0,1.0,1.0,0.34935001167468727,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.8105000015348196,2,0.3333333333333333,1.0,1.0,1.0,0.34935001167468727,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.8105000015348196,2,0.2,1.0,1.0,1.0,0.34935001167468727,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.8105000015348196,2,1.0,1.0,1.0,1.0,0.25889999233186245,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.8105000015348196,2,0.3333333333333333,1.0,1.0,1.0,0.25889999233186245,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.8105000015348196,2,0.2,1.0,1.0,1.0,0.25889999233186245,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,1.371799997286871,2,1.0,1.0,1.0,1.0,0.13694998051505536,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,1.371799997286871,2,0.3333333333333333,1.0,1.0,1.0,0.13694998051505536,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,1.371799997286871,2,0.2,1.0,1.0,1.0,0.13694998051505536,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,1.371799997286871,2,1.0,1.0,1.0,1.0,0.08830000297166407,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,1.371799997286871,2,0.3333333333333333,1.0,1.0,1.0,0.08830000297166407,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,1.371799997286871,2,0.2,1.0,1.0,1.0,0.08830000297166407,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,1.371799997286871,2,1.0,1.0,1.0,1.0,0.060650010709650815,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,1.371799997286871,2,0.3333333333333333,1.0,1.0,1.0,0.060650010709650815,1.0,0,0,0,True
fixed,bm25,none,product_and_version,5,2,2,1.371799997286871,2,0.2,1.0,1.0,1.0,0.060650010709650815,1.0,0,0,0,True
fixed,bm25,lexical,none,1,2,2,1.371799997286871,2,1.0,1.0,1.0,1.0,0.2832999889506027,1.0,0,0,0,True
fixed,bm25,lexical,none,3,2,2,1.371799997286871,2,0.3333333333333333,1.0,1.0,1.0,0.2832999889506027,1.0,0,0,0,True
fixed,bm25,lexical,none,5,2,2,1.371799997286871,2,0.2,1.0,1.0,1.0,0.2832999889506027,1.0,0,0,0,True
fixed,bm25,lexical,product,1,2,2,1.371799997286871,2,1.0,1.0,1.0,1.0,0.21775001368951052,1.0,0,0,0,True
fixed,bm25,lexical,product,3,2,2,1.371799997286871,2,0.3333333333333333,1.0,1.0,1.0,0.21775001368951052,1.0,0,0,0,True
fixed,bm25,lexical,product,5,2,2,1.371799997286871,2,0.2,1.0,1.0,1.0,0.21775001368951052,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,1,2,2,1.371799997286871,2,1.0,1.0,1.0,1.0,0.21785001445095986,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,3,2,2,1.371799997286871,2,0.3333333333333333,1.0,1.0,1.0,0.21785001445095986,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,5,2,2,1.371799997286871,2,0.2,1.0,1.0,1.0,0.21785001445095986,1.0,0,0,0,True
fixed,hash_embedding,none,none,1,2,2,1.4717000012751669,2,1.0,1.0,1.0,1.0,0.47640000411774963,1.0,0,0,0,True
fixed,hash_embedding,none,none,3,2,2,1.4717000012751669,2,0.3333333333333333,1.0,1.0,1.0,0.47640000411774963,1.0,0,0,0,True
fixed,hash_embedding,none,none,5,2,2,1.4717000012751669,2,0.2,1.0,1.0,1.0,0.47640000411774963,1.0,0,0,0,True
fixed,hash_embedding,none,product,1,2,2,1.4717000012751669,2,1.0,1.0,1.0,1.0,0.4455500020412728,1.0,0,0,0,True
fixed,hash_embedding,none,product,3,2,2,1.4717000012751669,2,0.3333333333333333,1.0,1.0,1.0,0.4455500020412728,1.0,0,0,0,True
fixed,hash_embedding,none,product,5,2,2,1.4717000012751669,2,0.2,1.0,1.0,1.0,0.4455500020412728,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,1,2,2,1.4717000012751669,2,1.0,1.0,1.0,1.0,0.45250001130625606,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,3,2,2,1.4717000012751669,2,0.3333333333333333,1.0,1.0,1.0,0.45250001130625606,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,5,2,2,1.4717000012751669,2,0.2,1.0,1.0,1.0,0.45250001130625606,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,1,2,2,1.4717000012751669,2,1.0,1.0,1.0,1.0,0.5528999899979681,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,3,2,2,1.4717000012751669,2,0.3333333333333333,1.0,1.0,1.0,0.5528999899979681,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,5,2,2,1.4717000012751669,2,0.2,1.0,1.0,1.0,0.5528999899979681,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,1,2,2,1.4717000012751669,2,1.0,1.0,1.0,1.0,0.42029998439829797,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,3,2,2,1.4717000012751669,2,0.3333333333333333,1.0,1.0,1.0,0.42029998439829797,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,5,2,2,1.4717000012751669,2,0.2,1.0,1.0,1.0,0.42029998439829797,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,1,2,2,1.4717000012751669,2,1.0,1.0,1.0,1.0,0.41074999899137765,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,3,2,2,1.4717000012751669,2,0.3333333333333333,1.0,1.0,1.0,0.41074999899137765,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,5,2,2,1.4717000012751669,2,0.2,1.0,1.0,1.0,0.41074999899137765,1.0,0,0,0,True
fixed,hybrid,none,none,1,2,2,2.593799988972023,2,1.0,1.0,1.0,1.0,0.39969998761080205,1.0,0,0,0,True
fixed,hybrid,none,none,3,2,2,2.593799988972023,2,0.3333333333333333,1.0,1.0,1.0,0.39969998761080205,1.0,0,0,0,True
fixed,hybrid,none,none,5,2,2,2.593799988972023,2,0.2,1.0,1.0,1.0,0.39969998761080205,1.0,0,0,0,True
fixed,hybrid,none,product,1,2,2,2.593799988972023,2,1.0,1.0,1.0,1.0,0.437250011600554,1.0,0,0,0,True
fixed,hybrid,none,product,3,2,2,2.593799988972023,2,0.3333333333333333,1.0,1.0,1.0,0.437250011600554,1.0,0,0,0,True
fixed,hybrid,none,product,5,2,2,2.593799988972023,2,0.2,1.0,1.0,1.0,0.437250011600554,1.0,0,0,0,True
fixed,hybrid,none,product_and_version,1,2,2,2.593799988972023,2,1.0,1.0,1.0,1.0,0.4266500036465004,1.0,0,0,0,True
fixed,hybrid,none,product_and_version,3,2,2,2.593799988972023,2,0.3333333333333333,1.0,1.0,1.0,0.4266500036465004,1.0,0,0,0,True
fixed,hybrid,none,product_and_version,5,2,2,2.593799988972023,2,0.2,1.0,1.0,1.0,0.4266500036465004,1.0,0,0,0,True
fixed,hybrid,lexical,none,1,2,2,2.593799988972023,2,1.0,1.0,1.0,1.0,0.6555500003742054,1.0,0,0,0,True
fixed,hybrid,lexical,none,3,2,2,2.593799988972023,2,0.3333333333333333,1.0,1.0,1.0,0.6555500003742054,1.0,0,0,0,True
fixed,hybrid,lexical,none,5,2,2,2.593799988972023,2,0.2,1.0,1.0,1.0,0.6555500003742054,1.0,0,0,0,True
fixed,hybrid,lexical,product,1,2,2,2.593799988972023,2,1.0,1.0,1.0,1.0,1.2848000042140484,1.0,0,0,0,True
fixed,hybrid,lexical,product,3,2,2,2.593799988972023,2,0.3333333333333333,1.0,1.0,1.0,1.2848000042140484,1.0,0,0,0,True
fixed,hybrid,lexical,product,5,2,2,2.593799988972023,2,0.2,1.0,1.0,1.0,1.2848000042140484,1.0,0,0,0,True
fixed,hybrid,lexical,product_and_version,1,2,2,2.593799988972023,2,1.0,1.0,1.0,1.0,0.643599996692501,1.0,0,0,0,True
fixed,hybrid,lexical,product_and_version,3,2,2,2.593799988972023,2,0.3333333333333333,1.0,1.0,1.0,0.643599996692501,1.0,0,0,0,True
fixed,hybrid,lexical,product_and_version,5,2,2,2.593799988972023,2,0.2,1.0,1.0,1.0,0.643599996692501,1.0,0,0,0,True
paragraph,keyword,none,none,1,2,8,0.457499991171062,2,1.0,1.0,1.0,1.0,0.11315000301692635,1.0,0,0,0,True
paragraph,keyword,none,none,3,2,8,0.457499991171062,2,0.3333333333333333,1.0,1.0,1.0,0.11315000301692635,1.0,0,0,0,True
paragraph,keyword,none,none,5,2,8,0.457499991171062,2,0.2,1.0,1.0,1.0,0.11315000301692635,1.0,0,0,0,True
paragraph,keyword,none,product,1,2,8,0.457499991171062,2,1.0,1.0,1.0,1.0,0.1016000023810193,1.0,0,0,0,True
paragraph,keyword,none,product,3,2,8,0.457499991171062,2,0.3333333333333333,1.0,1.0,1.0,0.1016000023810193,1.0,0,0,0,True
paragraph,keyword,none,product,5,2,8,0.457499991171062,2,0.2,1.0,1.0,1.0,0.1016000023810193,1.0,0,0,0,True
paragraph,keyword,none,product_and_version,1,2,8,0.457499991171062,2,1.0,1.0,1.0,1.0,0.1017500035231933,1.0,0,0,0,True
