chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.4079999926034361,2,1.0,1.0,1.0,1.0,0.08939999679569155,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.4079999926034361,2,0.3333333333333333,1.0,1.0,1.0,0.08939999679569155,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.4079999926034361,2,0.2,1.0,1.0,1.0,0.08939999679569155,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.4079999926034361,2,1.0,1.0,1.0,1.0,0.0645500113023445,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.4079999926034361,2,0.3333333333333333,1.0,1.0,1.0,0.0645500113023445,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.4079999926034361,2,0.2,1.0,1.0,1.0,0.0645500113023445,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.4079999926034361,2,1.0,1.0,1.0,1.0,0.06019999273121357,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.4079999926034361,2,0.3333333333333333,1.0,1.0,1.0,0.06019999273121357,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.4079999926034361,2,0.2,1.0,1.0,1.0,0.06019999273121357,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.4079999926034361,2,1.0,1.0,1.0,1.0,0.2275000006193295,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.4079999926034361,2,0.3333333333333333,1.0,1.0,1.0,0.2275000006193295,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.4079999926034361,2,0.2,1.0,1.0,1.0,0.2275000006193295,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.4079999926034361,2,1.0,1.0,1.0,1.0,0.2676500007510185,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.4079999926034361,2,0.3333333333333333,1.0,1.0,1.0,0.2676500007510185,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.4079999926034361,2,0.2,1.0,1.0,1.0,0.2676500007510185,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.4079999926034361,2,1.0,1.0,1.0,1.0,0.2768999838735908,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.4079999926034361,2,0.3333333333333333,1.0,1.0,1.0,0.2768999838735908,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.4079999926034361,2,0.2,1.0,1.0,1.0,0.2768999838735908,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.6881000008434057,2,1.0,1.0,1.0,1.0,0.06430000939872116,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.6881000008434057,2,0.3333333333333333,1.0,1.0,1.0,0.06430000939872116,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.6881000008434057,2,0.2,1.0,1.0,1.0,0.06430000939872116,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.6881000008434057,2,1.0,1.0,1.0,1.0,0.06255001062527299,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.6881000008434057,2,0.3333333333333333,1.0,1.0,1.0,0.06255001062527299,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.6881000008434057,2,0.2,1.0,1.0,1.0,0.06255001062527299,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.6881000008434057,2,1.0,1.0,1.0,1.0,0.06464999751187861,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,0.6881000008434057,2,0.3333333333333333,1.0,1.0,1.0,0.06464999751187861,1.0,0,0,0,True
fixed,bm25,none,product_and_version,5,2,2,0.6881000008434057,2,0.2,1.0,1.0,1.0,0.06464999751187861,1.0,0,0,0,True
fixed,bm25,lexical,none,1,2,2,0.6881000008434057,2,1.0,1.0,1.0,1.0,0.318949983920902,1.0,0,0,0,True
fixed,bm25,lexical,none,3,2,2,0.6881000008434057,2,0.3333333333333333,1.0,1.0,1.0,0.318949983920902,1.0,0,0,0,True
fixed,bm25,lexical,none,5,2,2,0.6881000008434057,2,0.2,1.0,1.0,1.0,0.318949983920902,1.0,0,0,0,True
fixed,bm25,lexical,product,1,2,2,0.6881000008434057,2,1.0,1.0,1.0,1.0,0.31605002004653215,1.0,0,0,0,True
fixed,bm25,lexical,product,3,2,2,0.6881000008434057,2,0.3333333333333333,1.0,1.0,1.0,0.31605002004653215,1.0,0,0,0,True
fixed,bm25,lexical,product,5,2,2,0.6881000008434057,2,0.2,1.0,1.0,1.0,0.31605002004653215,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,1,2,2,0.6881000008434057,2,1.0,1.0,1.0,1.0,0.30685000820085406,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,3,2,2,0.6881000008434057,2,0.3333333333333333,1.0,1.0,1.0,0.30685000820085406,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,5,2,2,0.6881000008434057,2,0.2,1.0,1.0,1.0,0.30685000820085406,1.0,0,0,0,True
fixed,hash_embedding,none,none,1,2,2,1.9589999865274876,2,1.0,1.0,1.0,1.0,0.32029999420046806,1.0,0,0,0,True
fixed,hash_embedding,none,none,3,2,2,1.9589999865274876,2,0.3333333333333333,1.0,1.0,1.0,0.32029999420046806,1.0,0,0,0,True
fixed,hash_embedding,none,none,5,2,2,1.9589999865274876,2,0.2,1.0,1.0,1.0,0.32029999420046806,1.0,0,0,0,True
fixed,hash_embedding,none,product,1,2,2,1.9589999865274876,2,1.0,1.0,1.0,1.0,0.25099999038502574,1.0,0,0,0,True
fixed,hash_embedding,none,product,3,2,2,1.9589999865274876,2,0.3333333333333333,1.0,1.0,1.0,0.25099999038502574,1.0,0,0,0,True
fixed,hash_embedding,none,product,5,2,2,1.9589999865274876,2,0.2,1.0,1.0,1.0,0.25099999038502574,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,1,2,2,1.9589999865274876,2,1.0,1.0,1.0,1.0,0.2531999925849959,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,3,2,2,1.9589999865274876,2,0.3333333333333333,1.0,1.0,1.0,0.2531999925849959,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,5,2,2,1.9589999865274876,2,0.2,1.0,1.0,1.0,0.2531999925849959,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,1,2,2,1.9589999865274876,2,1.0,1.0,1.0,1.0,0.39605000347364694,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,3,2,2,1.9589999865274876,2,0.3333333333333333,1.0,1.0,1.0,0.39605000347364694,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,5,2,2,1.9589999865274876,2,0.2,1.0,1.0,1.0,0.39605000347364694,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,1,2,2,1.9589999865274876,2,1.0,1.0,1.0,1.0,0.3495999990263954,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,3,2,2,1.9589999865274876,2,0.3333333333333333,1.0,1.0,1.0,0.3495999990263954,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,5,2,2,1.9589999865274876,2,0.2,1.0,1.0,1.0,0.3495999990263954,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,1,2,2,1.9589999865274876,2,1.0,1.0,1.0,1.0,0.32205000752583146,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,3,2,2,1.9589999865274876,2,0.3333333333333333,1.0,1.0,1.0,0.32205000752583146,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,5,2,2,1.9589999865274876,2,0.2,1.0,1.0,1.0,0.32205000752583146,1.0,0,0,0,True
fixed,hybrid,none,none,1,2,2,1.9991000008303672,2,1.0,1.0,1.0,1.0,0.3403000009711832,1.0,0,0,0,True
fixed,hybrid,none,none,3,2,2,1.9991000008303672,2,0.3333333333333333,1.0,1.0,1.0,0.3403000009711832,1.0,0,0,0,True
fixed,hybrid,none,none,5,2,2,1.9991000008303672,2,0.2,1.0,1.0,1.0,0.3403000009711832,1.0,0,0,0,True
fixed,hybrid,none,product,1,2,2,1.9991000008303672,2,1.0,1.0,1.0,1.0,0.5167500057723373,1.0,0,0,0,True
fixed,hybrid,none,product,3,2,2,1.9991000008303672,2,0.3333333333333333,1.0,1.0,1.0,0.5167500057723373,1.0,0,0,0,True
fixed,hybrid,none,product,5,2,2,1.9991000008303672,2,0.2,1.0,1.0,1.0,0.5167500057723373,1.0,0,0,0,True
fixed,hybrid,none,product_and_version,1,2,2,1.9991000008303672,2,1.0,1.0,1.0,1.0,0.3440000000409782,1.0,0,0,0,True
fixed,hybrid,none,product_and_version,3,2,2,1.9991000008303672,2,0.3333333333333333,1.0,1.0,1.0,0.3440000000409782,1.0,0,0,0,True
fixed,hybrid,none,product_and_version,5,2,2,1.9991000008303672,2,0.2,1.0,1.0,1.0,0.3440000000409782,1.0,0,0,0,True
fixed,hybrid,lexical,none,1,2,2,1.9991000008303672,2,1.0,1.0,1.0,1.0,0.46054999984335154,1.0,0,0,0,True
fixed,hybrid,lexical,none,3,2,2,1.9991000008303672,2,0.3333333333333333,1.0,1.0,1.0,0.46054999984335154,1.0,0,0,0,True
fixed,hybrid,lexical,none,5,2,2,1.9991000008303672,2,0.2,1.0,1.0,1.0,0.46054999984335154,1.0,0,0,0,True
