chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.3667999990284443,2,1.0,1.0,1.0,1.0,0.0816000101622194,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.3667999990284443,2,0.3333333333333333,1.0,1.0,1.0,0.0816000101622194,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.3667999990284443,2,0.2,1.0,1.0,1.0,0.0816000101622194,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.3667999990284443,2,1.0,1.0,1.0,1.0,0.13630000466946512,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.3667999990284443,2,0.3333333333333333,1.0,1.0,1.0,0.13630000466946512,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.3667999990284443,2,0.2,1.0,1.0,1.0,0.13630000466946512,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.3667999990284443,2,1.0,1.0,1.0,1.0,0.05060000694356859,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.3667999990284443,2,0.3333333333333333,1.0,1.0,1.0,0.05060000694356859,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.3667999990284443,2,0.2,1.0,1.0,1.0,0.05060000694356859,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.3667999990284443,2,1.0,1.0,1.0,1.0,0.18940000154543668,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.3667999990284443,2,0.3333333333333333,1.0,1.0,1.0,0.18940000154543668,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.3667999990284443,2,0.2,1.0,1.0,1.0,0.18940000154543668,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.3667999990284443,2,1.0,1.0,1.0,1.0,0.12140000762883574,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.3667999990284443,2,0.3333333333333333,1.0,1.0,1.0,0.12140000762883574,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.3667999990284443,2,0.2,1.0,1.0,1.0,0.12140000762883574,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.3667999990284443,2,1.0,1.0,1.0,1.0,1.5477499982807785,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.3667999990284443,2,0.3333333333333333,1.0,1.0,1.0,1.5477499982807785,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.3667999990284443,2,0.2,1.0,1.0,1.0,1.5477499982807785,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.3115000145044178,2,1.0,1.0,1.0,1.0,0.03260000084992498,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.3115000145044178,2,0.3333333333333333,1.0,1.0,1.0,0.03260000084992498,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.3115000145044178,2,0.2,1.0,1.0,1.0,0.03260000084992498,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.3115000145044178,2,1.0,1.0,1.0,1.0,0.025950008421204984,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.3115000145044178,2,0.3333333333333333,1.0,1.0,1.0,0.025950008421204984,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.3115000145044178,2,0.2,1.0,1.0,1.0,0.025950008421204984,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.3115000145044178,2,1.0,1.0,1.0,1.0,0.024749984731897712,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,0.3115000145044178,2,0.3333333333333333,1.0,1.0,1.0,0.024749984731897712,1.0,0,0,0,True
fixed,bm25,none,product_and_version,5,2,2,0.3115000145044178,2,0.2,1.0,1.0,1.0,0.024749984731897712,1.0,0,0,0,True
fixed,bm25,lexical,none,1,2,2,0.3115000145044178,2,1.0,1.0,1.0,1.0,0.10540000221226364,1.0,0,0,0,True
fixed,bm25,lexical,none,3,2,2,0.3115000145044178,2,0.3333333333333333,1.0,1.0,1.0,0.10540000221226364,1.0,0,0,0,True
fixed,bm25,lexical,none,5,2,2,0.3115000145044178,2,0.2,1.0,1.0,1.0,0.10540000221226364,1.0,0,0,0,True
fixed,bm25,lexical,product,1,2,2,0.3115000145044178,2,1.0,1.0,1.0,1.0,0.1510500005679205,1.0,0,0,0,True
fixed,bm25,lexical,product,3,2,2,0.3115000145044178,2,0.3333333333333333,1.0,1.0,1.0,0.1510500005679205,1.0,0,0,0,True
fixed,bm25,lexical,product,5,2,2,0.3115000145044178,2,0.2,1.0,1.0,1.0,0.1510500005679205,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,1,2,2,0.3115000145044178,2,1.0,1.0,1.0,1.0,0.0998499890556559,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,3,2,2,0.3115000145044178,2,0.3333333333333333,1.0,1.0,1.0,0.0998499890556559,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,5,2,2,0.3115000145044178,2,0.2,1.0,1.0,1.0,0.0998499890556559,1.0,0,0,0,True
fixed,hash_embedding,none,none,1,2,2,0.9726000134833157,2,1.0,1.0,1.0,1.0,0.33739999344106764,1.0,0,0,0,True
fixed,hash_embedding,none,none,3,2,2,0.9726000134833157,2,0.3333333333333333,1.0,1.0,1.0,0.33739999344106764,1.0,0,0,0,True
fixed,hash_embedding,none,none,5,2,2,0.9726000134833157,2,0.2,1.0,1.0,1.0,0.33739999344106764,1.0,0,0,0,True
fixed,hash_embedding,none,product,1,2,2,0.9726000134833157,2,1.0,1.0,1.0,1.0,0.2341499930480495,1.0,0,0,0,True
fixed,hash_embedding,none,product,3,2,2,0.9726000134833157,2,0.3333333333333333,1.0,1.0,1.0,0.2341499930480495,1.0,0,0,0,True
