chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.22780001745559275,2,1.0,1.0,1.0,1.0,0.05229999078437686,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.22780001745559275,2,0.3333333333333333,1.0,1.0,1.0,0.05229999078437686,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.22780001745559275,2,0.2,1.0,1.0,1.0,0.05229999078437686,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.22780001745559275,2,1.0,1.0,1.0,1.0,0.03700000524986535,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.22780001745559275,2,0.3333333333333333,1.0,1.0,1.0,0.03700000524986535,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.22780001745559275,2,0.2,1.0,1.0,1.0,0.03700000524986535,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.22780001745559275,2,1.0,1.0,1.0,1.0,0.043150008423253894,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.22780001745559275,2,0.3333333333333333,1.0,1.0,1.0,0.043150008423253894,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.22780001745559275,2,0.2,1.0,1.0,1.0,0.043150008423253894,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.22780001745559275,2,1.0,1.0,1.0,1.0,0.1286000042455271,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.22780001745559275,2,0.3333333333333333,1.0,1.0,1.0,0.1286000042455271,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.22780001745559275,2,0.2,1.0,1.0,1.0,0.1286000042455271,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.22780001745559275,2,1.0,1.0,1.0,1.0,0.10955000470858067,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.22780001745559275,2,0.3333333333333333,1.0,1.0,1.0,0.10955000470858067,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.22780001745559275,2,0.2,1.0,1.0,1.0,0.10955000470858067,1.0,0,0,0,True
