chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.24270001449622214,2,1.0,1.0,1.0,1.0,0.05675001011695713,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.24270001449622214,2,0.3333333333333333,1.0,1.0,1.0,0.05675001011695713,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.24270001449622214,2,0.2,1.0,1.0,1.0,0.05675001011695713,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.24270001449622214,2,1.0,1.0,1.0,1.0,0.03944999480154365,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.24270001449622214,2,0.3333333333333333,1.0,1.0,1.0,0.03944999480154365,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.24270001449622214,2,0.2,1.0,1.0,1.0,0.03944999480154365,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.24270001449622214,2,1.0,1.0,1.0,1.0,0.03640000068116933,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.24270001449622214,2,0.3333333333333333,1.0,1.0,1.0,0.03640000068116933,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.24270001449622214,2,0.2,1.0,1.0,1.0,0.03640000068116933,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.24270001449622214,2,1.0,1.0,1.0,1.0,0.13905001105740666,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.24270001449622214,2,0.3333333333333333,1.0,1.0,1.0,0.13905001105740666,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.24270001449622214,2,0.2,1.0,1.0,1.0,0.13905001105740666,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.24270001449622214,2,1.0,1.0,1.0,1.0,0.11639999866019934,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.24270001449622214,2,0.3333333333333333,1.0,1.0,1.0,0.11639999866019934,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.24270001449622214,2,0.2,1.0,1.0,1.0,0.11639999866019934,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.24270001449622214,2,1.0,1.0,1.0,1.0,0.11754999286495149,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.24270001449622214,2,0.3333333333333333,1.0,1.0,1.0,0.11754999286495149,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.24270001449622214,2,0.2,1.0,1.0,1.0,0.11754999286495149,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.24989998200908303,2,1.0,1.0,1.0,1.0,0.026649999199435115,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.24989998200908303,2,0.3333333333333333,1.0,1.0,1.0,0.026649999199435115,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.24989998200908303,2,0.2,1.0,1.0,1.0,0.026649999199435115,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.24989998200908303,2,1.0,1.0,1.0,1.0,0.023849992430768907,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.24989998200908303,2,0.3333333333333333,1.0,1.0,1.0,0.023849992430768907,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.24989998200908303,2,0.2,1.0,1.0,1.0,0.023849992430768907,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.24989998200908303,2,1.0,1.0,1.0,1.0,0.026299996534362435,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,0.24989998200908303,2,0.3333333333333333,1.0,1.0,1.0,0.026299996534362435,1.0,0,0,0,True
fixed,bm25,none,product_and_version,5,2,2,0.24989998200908303,2,0.2,1.0,1.0,1.0,0.026299996534362435,1.0,0,0,0,True
fixed,bm25,lexical,none,1,2,2,0.24989998200908303,2,1.0,1.0,1.0,1.0,0.10325000039301813,1.0,0,0,0,True
fixed,bm25,lexical,none,3,2,2,0.24989998200908303,2,0.3333333333333333,1.0,1.0,1.0,0.10325000039301813,1.0,0,0,0,True
fixed,bm25,lexical,none,5,2,2,0.24989998200908303,2,0.2,1.0,1.0,1.0,0.10325000039301813,1.0,0,0,0,True
fixed,bm25,lexical,product,1,2,2,0.24989998200908303,2,1.0,1.0,1.0,1.0,0.13939999917056412,1.0,0,0,0,True
fixed,bm25,lexical,product,3,2,2,0.24989998200908303,2,0.3333333333333333,1.0,1.0,1.0,0.13939999917056412,1.0,0,0,0,True
fixed,bm25,lexical,product,5,2,2,0.24989998200908303,2,0.2,1.0,1.0,1.0,0.13939999917056412,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,1,2,2,0.24989998200908303,2,1.0,1.0,1.0,1.0,0.09750001481734216,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,3,2,2,0.24989998200908303,2,0.3333333333333333,1.0,1.0,1.0,0.09750001481734216,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,5,2,2,0.24989998200908303,2,0.2,1.0,1.0,1.0,0.09750001481734216,1.0,0,0,0,True
fixed,hash_embedding,none,none,1,2,2,0.7846000080462545,2,1.0,1.0,1.0,1.0,0.2133999951183796,1.0,0,0,0,True
fixed,hash_embedding,none,none,3,2,2,0.7846000080462545,2,0.3333333333333333,1.0,1.0,1.0,0.2133999951183796,1.0,0,0,0,True
fixed,hash_embedding,none,none,5,2,2,0.7846000080462545,2,0.2,1.0,1.0,1.0,0.2133999951183796,1.0,0,0,0,True
fixed,hash_embedding,none,product,1,2,2,0.7846000080462545,2,1.0,1.0,1.0,1.0,0.254550002864562,1.0,0,0,0,True
fixed,hash_embedding,none,product,3,2,2,0.7846000080462545,2,0.3333333333333333,1.0,1.0,1.0,0.254550002864562,1.0,0,0,0,True
fixed,hash_embedding,none,product,5,2,2,0.7846000080462545,2,0.2,1.0,1.0,1.0,0.254550002864562,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,1,2,2,0.7846000080462545,2,1.0,1.0,1.0,1.0,0.24024999584071338,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,3,2,2,0.7846000080462545,2,0.3333333333333333,1.0,1.0,1.0,0.24024999584071338,1.0,0,0,0,True
fixed,hash_embedding,none,product_and_version,5,2,2,0.7846000080462545,2,0.2,1.0,1.0,1.0,0.24024999584071338,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,1,2,2,0.7846000080462545,2,1.0,1.0,1.0,1.0,0.40294998325407505,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,3,2,2,0.7846000080462545,2,0.3333333333333333,1.0,1.0,1.0,0.40294998325407505,1.0,0,0,0,True
fixed,hash_embedding,lexical,none,5,2,2,0.7846000080462545,2,0.2,1.0,1.0,1.0,0.40294998325407505,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,1,2,2,0.7846000080462545,2,1.0,1.0,1.0,1.0,0.23385000531561673,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,3,2,2,0.7846000080462545,2,0.3333333333333333,1.0,1.0,1.0,0.23385000531561673,1.0,0,0,0,True
fixed,hash_embedding,lexical,product,5,2,2,0.7846000080462545,2,0.2,1.0,1.0,1.0,0.23385000531561673,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,1,2,2,0.7846000080462545,2,1.0,1.0,1.0,1.0,0.215150008443743,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,3,2,2,0.7846000080462545,2,0.3333333333333333,1.0,1.0,1.0,0.215150008443743,1.0,0,0,0,True
fixed,hash_embedding,lexical,product_and_version,5,2,2,0.7846000080462545,2,0.2,1.0,1.0,1.0,0.215150008443743,1.0,0,0,0,True
fixed,hybrid,none,none,1,2,2,0.9178999753203243,2,1.0,1.0,1.0,1.0,0.21399999968707561,1.0,0,0,0,True
fixed,hybrid,none,none,3,2,2,0.9178999753203243,2,0.3333333333333333,1.0,1.0,1.0,0.21399999968707561,1.0,0,0,0,True
fixed,hybrid,none,none,5,2,2,0.9178999753203243,2,0.2,1.0,1.0,1.0,0.21399999968707561,1.0,0,0,0,True
fixed,hybrid,none,product,1,2,2,0.9178999753203243,2,1.0,1.0,1.0,1.0,0.22370000078808516,1.0,0,0,0,True
fixed,hybrid,none,product,3,2,2,0.9178999753203243,2,0.3333333333333333,1.0,1.0,1.0,0.22370000078808516,1.0,0,0,0,True
