chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.32270001247525215,2,1.0,1.0,1.0,1.0,0.07369999366346747,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.32270001247525215,2,0.3333333333333333,1.0,1.0,1.0,0.07369999366346747,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.32270001247525215,2,0.2,1.0,1.0,1.0,0.07369999366346747,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.32270001247525215,2,1.0,1.0,1.0,1.0,0.05545000021811575,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.32270001247525215,2,0.3333333333333333,1.0,1.0,1.0,0.05545000021811575,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.32270001247525215,2,0.2,1.0,1.0,1.0,0.05545000021811575,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.32270001247525215,2,1.0,1.0,1.0,1.0,0.04820000322069973,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.32270001247525215,2,0.3333333333333333,1.0,1.0,1.0,0.04820000322069973,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.32270001247525215,2,0.2,1.0,1.0,1.0,0.04820000322069973,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.32270001247525215,2,1.0,1.0,1.0,1.0,0.1821999903768301,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.32270001247525215,2,0.3333333333333333,1.0,1.0,1.0,0.1821999903768301,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.32270001247525215,2,0.2,1.0,1.0,1.0,0.1821999903768301,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.32270001247525215,2,1.0,1.0,1.0,1.0,0.3858499985653907,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.32270001247525215,2,0.3333333333333333,1.0,1.0,1.0,0.3858499985653907,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.32270001247525215,2,0.2,1.0,1.0,1.0,0.3858499985653907,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.32270001247525215,2,1.0,1.0,1.0,1.0,0.45094999950379133,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.32270001247525215,2,0.3333333333333333,1.0,1.0,1.0,0.45094999950379133,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.32270001247525215,2,0.2,1.0,1.0,1.0,0.45094999950379133,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.5123000009916723,2,1.0,1.0,1.0,1.0,0.06480001320596784,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.5123000009916723,2,0.3333333333333333,1.0,1.0,1.0,0.06480001320596784,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.5123000009916723,2,0.2,1.0,1.0,1.0,0.06480001320596784,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.5123000009916723,2,1.0,1.0,1.0,1.0,0.03805001324508339,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.5123000009916723,2,0.3333333333333333,1.0,1.0,1.0,0.03805001324508339,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.5123000009916723,2,0.2,1.0,1.0,1.0,0.03805001324508339,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.5123000009916723,2,1.0,1.0,1.0,1.0,0.035949997254647315,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,0.5123000009916723,2,0.3333333333333333,1.0,1.0,1.0,0.035949997254647315,1.0,0,0,0,True
fixed,bm25,none,product_and_version,5,2,2,0.5123000009916723,2,0.2,1.0,1.0,1.0,0.035949997254647315,1.0,0,0,0,True
fixed,bm25,lexical,none,1,2,2,0.5123000009916723,2,1.0,1.0,1.0,1.0,0.24065001343842596,1.0,0,0,0,True
fixed,bm25,lexical,none,3,2,2,0.5123000009916723,2,0.3333333333333333,1.0,1.0,1.0,0.24065001343842596,1.0,0,0,0,True
fixed,bm25,lexical,none,5,2,2,0.5123000009916723,2,0.2,1.0,1.0,1.0,0.24065001343842596,1.0,0,0,0,True
fixed,bm25,lexical,product,1,2,2,0.5123000009916723,2,1.0,1.0,1.0,1.0,0.1404999929945916,1.0,0,0,0,True
fixed,bm25,lexical,product,3,2,2,0.5123000009916723,2,0.3333333333333333,1.0,1.0,1.0,0.1404999929945916,1.0,0,0,0,True
fixed,bm25,lexical,product,5,2,2,0.5123000009916723,2,0.2,1.0,1.0,1.0,0.1404999929945916,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,1,2,2,0.5123000009916723,2,1.0,1.0,1.0,1.0,0.13010000111535192,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,3,2,2,0.5123000009916723,2,0.3333333333333333,1.0,1.0,1.0,0.13010000111535192,1.0,0,0,0,True
fixed,bm25,lexical,product_and_version,5,2,2,0.5123000009916723,2,0.2,1.0,1.0,1.0,0.13010000111535192,1.0,0,0,0,True
fixed,hash_embedding,none,none,1,2,2,1.0535999899730086,2,1.0,1.0,1.0,1.0,0.3896999987773597,1.0,0,0,0,True
fixed,hash_embedding,none,none,3,2,2,1.0535999899730086,2,0.3333333333333333,1.0,1.0,1.0,0.3896999987773597,1.0,0,0,0,True
fixed,hash_embedding,none,none,5,2,2,1.0535999899730086,2,0.2,1.0,1.0,1.0,0.3896999987773597,1.0,0,0,0,True
