chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,mean_required_term_coverage_at_k,excluded_term_hit_count,product_confusion_count,version_mismatch_count,quality_gate_passed
fixed,keyword,none,none,1,2,2,0.36020000698044896,2,1.0,1.0,1.0,1.0,0.08110000635497272,1.0,0,0,0,True
fixed,keyword,none,none,3,2,2,0.36020000698044896,2,0.3333333333333333,1.0,1.0,1.0,0.08110000635497272,1.0,0,0,0,True
fixed,keyword,none,none,5,2,2,0.36020000698044896,2,0.2,1.0,1.0,1.0,0.08110000635497272,1.0,0,0,0,True
fixed,keyword,none,product,1,2,2,0.36020000698044896,2,1.0,1.0,1.0,1.0,0.06840001151431352,1.0,0,0,0,True
fixed,keyword,none,product,3,2,2,0.36020000698044896,2,0.3333333333333333,1.0,1.0,1.0,0.06840001151431352,1.0,0,0,0,True
fixed,keyword,none,product,5,2,2,0.36020000698044896,2,0.2,1.0,1.0,1.0,0.06840001151431352,1.0,0,0,0,True
fixed,keyword,none,product_and_version,1,2,2,0.36020000698044896,2,1.0,1.0,1.0,1.0,0.05390000296756625,1.0,0,0,0,True
fixed,keyword,none,product_and_version,3,2,2,0.36020000698044896,2,0.3333333333333333,1.0,1.0,1.0,0.05390000296756625,1.0,0,0,0,True
fixed,keyword,none,product_and_version,5,2,2,0.36020000698044896,2,0.2,1.0,1.0,1.0,0.05390000296756625,1.0,0,0,0,True
fixed,keyword,lexical,none,1,2,2,0.36020000698044896,2,1.0,1.0,1.0,1.0,0.20340000628493726,1.0,0,0,0,True
fixed,keyword,lexical,none,3,2,2,0.36020000698044896,2,0.3333333333333333,1.0,1.0,1.0,0.20340000628493726,1.0,0,0,0,True
fixed,keyword,lexical,none,5,2,2,0.36020000698044896,2,0.2,1.0,1.0,1.0,0.20340000628493726,1.0,0,0,0,True
fixed,keyword,lexical,product,1,2,2,0.36020000698044896,2,1.0,1.0,1.0,1.0,0.18295001063961536,1.0,0,0,0,True
fixed,keyword,lexical,product,3,2,2,0.36020000698044896,2,0.3333333333333333,1.0,1.0,1.0,0.18295001063961536,1.0,0,0,0,True
fixed,keyword,lexical,product,5,2,2,0.36020000698044896,2,0.2,1.0,1.0,1.0,0.18295001063961536,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,1,2,2,0.36020000698044896,2,1.0,1.0,1.0,1.0,0.22990000434219837,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,3,2,2,0.36020000698044896,2,0.3333333333333333,1.0,1.0,1.0,0.22990000434219837,1.0,0,0,0,True
fixed,keyword,lexical,product_and_version,5,2,2,0.36020000698044896,2,0.2,1.0,1.0,1.0,0.22990000434219837,1.0,0,0,0,True
fixed,bm25,none,none,1,2,2,0.46339997788891196,2,1.0,1.0,1.0,1.0,0.046949993702583015,1.0,0,0,0,True
fixed,bm25,none,none,3,2,2,0.46339997788891196,2,0.3333333333333333,1.0,1.0,1.0,0.046949993702583015,1.0,0,0,0,True
fixed,bm25,none,none,5,2,2,0.46339997788891196,2,0.2,1.0,1.0,1.0,0.046949993702583015,1.0,0,0,0,True
fixed,bm25,none,product,1,2,2,0.46339997788891196,2,1.0,1.0,1.0,1.0,0.040049999370239675,1.0,0,0,0,True
fixed,bm25,none,product,3,2,2,0.46339997788891196,2,0.3333333333333333,1.0,1.0,1.0,0.040049999370239675,1.0,0,0,0,True
fixed,bm25,none,product,5,2,2,0.46339997788891196,2,0.2,1.0,1.0,1.0,0.040049999370239675,1.0,0,0,0,True
fixed,bm25,none,product_and_version,1,2,2,0.46339997788891196,2,1.0,1.0,1.0,1.0,0.040049999370239675,1.0,0,0,0,True
fixed,bm25,none,product_and_version,3,2,2,0.46339997788891196,2,0.3333333333333333,1.0,1.0,1.0,0.040049999370239675,1.0,0,0,0,True
fixed,bm25,none,product_and_version,5,2,2,0.46339997788891196,2,0.2,1.0,1.0,1.0,0.040049999370239675,1.0,0,0,0,True
fixed,bm25,lexical,none,1,2,2,0.46339997788891196,2,1.0,1.0,1.0,1.0,0.2874999918276444,1.0,0,0,0,True
fixed,bm25,lexical,none,3,2,2,0.46339997788891196,2,0.3333333333333333,1.0,1.0,1.0,0.2874999918276444,1.0,0,0,0,True
